gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4168709056,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,fb13b650ee966a3953471b71bbf1b496,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Plan las Palmas,Chiapas,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,15.046389,-92.2325,110,,280,280,0,0,1990-01-01/2003-12-31,,,,1650450,1650450,MATERIAL_CITATION,CRISP-INSP,CRISP-INSP,CIP-AN497,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; AOB; DGLC; JAAM; MMR; JLAR,,,2024-01-24T19:30:32.608Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE
4168709055,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,e18a94d748eb84fe640dfca372dc9656,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,San Bernardo,Oaxaca,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,17.806667,-96.256111,90,,32,32,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN261,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; RAMV,,,2024-01-24T19:30:32.081Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709053,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,3425413bdfe842bb42fbbace5d106020,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,21 de Marzo,Oaxaca,PRESENT,2,ff90b050-c256-11db-b71b-b8a03c50a862,16.355639,-94.188555,100,,39,39,0,0,2001-10-01/2002-03-31,,,,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN91,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; AZA,,,2024-01-24T19:30:32.463Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709050,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,4b80bba650318e75b6dc5bd89c009629,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,La Concordia,Chiapas,PRESENT,,ff90b050-c256-11db-b71b-b8a03c50a862,15.014167,-92.243611,110,,200,200,0,0,1990-01-01/2003-12-31,,,,1650450,1650450,MATERIAL_CITATION,CRISP-INSP,CRISP-INSP,CIP-AN445,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; AOB; DGLC; JAAM; MMR; JLAR,,,2024-01-24T19:30:32.742Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE
4168709043,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,955a13ecd717c49de444bd16748a3fa2,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,LA BOQUILLA,Chiapas,PRESENT,31,ff90b050-c256-11db-b71b-b8a03c50a862,15.099722,-92.215555,100,,307,307,0,0,2001-10-01/2002-03-31,,,,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN107,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; AZA,,,2024-01-24T19:30:32.934Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709041,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,31c1c202b03531040b99e01c884ad22c,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Fracción Tiltepec,Chiapas,PRESENT,2,ff90b050-c256-11db-b71b-b8a03c50a862,16.119528,-93.79225,100,,24.5,24.5,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN172,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MMR; RAMV; JLAR,,,2024-01-24T19:30:32.820Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709040,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,a1c912458c8afaf87a589460e1d57f87,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Beníto Juárez,Chiapas,PRESENT,5,ff90b050-c256-11db-b71b-b8a03c50a862,16.096667,-91.628889,100,,681.5,681.5,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN143,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MMR; RAMV; JLAR,,,2024-01-24T19:30:31.816Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709038,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,b48daff65312d7be459f3a26c3ee5cb4,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Ixcán,Chiapas,PRESENT,3,ff90b050-c256-11db-b71b-b8a03c50a862,16.0785,-91.099722,100,,103.5,103.5,0,0,2001-10-01/2002-03-31,,,,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN111,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; AZA,,,2024-01-24T19:30:32.789Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709035,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,4d9fad507e83f4ff352ba2d20fa26e00,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,Ixcán,Chiapas,PRESENT,4,ff90b050-c256-11db-b71b-b8a03c50a862,16.081694,-91.094111,100,,90.5,90.5,0,0,2002-04-22/2002-08-09,,,2002,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN188,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MMR; RAMV; JLAR,,,2024-01-24T19:30:32.050Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
4168709031,6b44b322-e9b8-4a1b-ba7e-7ef7f84e44b1,1d91c0b6ecbacf571a13e1500bb83233,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pseudopunctipennis,,SPECIES,"Anopheles pseudopunctipennis Theobald, 1901",Anopheles (Anopheles) pseudopunctipennis,"Theobald, 1901",MX,San Jose de Gracia,Oaxaca,PRESENT,1,ff90b050-c256-11db-b71b-b8a03c50a862,16.657667,-96.101139,100,,381.5,381.5,0,0,2001-10-01/2002-03-31,,,,1650450,1650450,PRESERVED_SPECIMEN,CRISP-INSP,CRISP-INSP,CIP-AN87,,AOB,,CC_BY_4_0,Comisión Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),MCM; MMR; AZA,,,2024-01-24T19:30:31.686Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED;ELEVATION_MIN_MAX_SWAPPED;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE
