verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Aedes aegypti,MX,27.45,-110.1,0.0,2005
Aedes aegypti,MX,26.91,-109.63,0.0,2005
Aedes aegypti,MX,25.53,-108.6,0.0,2006
Aedes aegypti,MX,24.25,-107.18,0.0,2006
Aedes aegypti,MX,19.38,-96.39,0.0,2009
Aedes aegypti,MX,18.73,-99.01,0.0,2009
Aedes aegypti,MX,21.78,-104.87,0.0,2009
Aedes aegypti,MX,17.67,-99.88,0.0,2009
Aedes aegypti,MX,24.98,-107.49,0.0,2009
Aedes aegypti,MX,19.2,-101.89,0.0,2009
Aedes aegypti,MX,20.57,-103.24,0.0,2009
Aedes aegypti,MX,20.94,-101.47,0.0,2009
Aedes aegypti,MX,25.87,-97.51,0.0,2005
Aedes aegypti,MX,19.14,-103.93,0.0,2009
Aedes aegypti,MX,26.92,-109.63,0.0,2005
Aedes aegypti,MX,20.98,-89.62,0.0,2008
Aedes aegypti,MX,20.86,-90.39,0.0,2007
Aedes aegypti,MX,20.98,-89.62,0.0,2003
Aedes aegypti,MX,19.6,-96.38,0.0,2006
Aedes aegypti,MX,14.9,-92.27,0.0,2006
Aedes aegypti,MX,31.68,-106.48,0.0,2003
Aedes aegypti,MX,31.33,-110.95,0.0,2002
Aedes aegypti,MX,31.33,-110.93,0.0,2002
Aedes aegypti,MX,31.26,-110.94,0.0,2002
Aedes aegypti,MX,31.27,-110.97,0.0,2002
Aedes aegypti,MX,31.28,-110.96,0.0,2002
Aedes aegypti,MX,31.29,-110.93,0.0,2002
Aedes aegypti,MX,31.26,-110.96,0.0,2002
Aedes aegypti,MX,31.27,-110.93,0.0,2002
Aedes aegypti,MX,20.37,-97.28,0.0,2003
Aedes aegypti,MX,29.1,-110.95,0.0,2000
Aedes aegypti,MX,27.93,-110.91,0.0,2000
Aedes aegypti,MX,18.5,-88.29,0.0,2005
Aedes aegypti,MX,18.63,-95.52,0.0,2005
Aedes aegypti,MX,14.9,-92.27,0.0,2003
Aedes aegypti,MX,14.98,-92.17,0.0,2005
Aedes aegypti,MX,14.62,-92.19,0.0,2005
Aedes aegypti,MX,16.32,-95.23,0.0,2002
Aedes aegypti,MX,14.9,-92.27,0.0,2005
Aedes aegypti,MX,20.86,-90.4,0.0,2007
Aedes aegypti,MX,18.63,-99.16,0.0,2008
Aedes aegypti,MX,14.91,-92.26,0.0,2010
Aedes aegypti,MX,18.61,-99.18,0.0,2008
Aedes aegypti,MX,14.89,-92.48,0.0,2009
Aedes aegypti,MX,14.91,-92.26,0.0,2008
Aedes aegypti,MX,18.81,-98.96,0.0,2008
Aedes aegypti,MX,20.97,-89.63,0.0,2007
Aedes aegypti,MX,25.61,-100.28,0.0,2009
Aedes aegypti,MX,18.14,-94.42,0.0,2009
Aedes aegypti,MX,22.04,-98.2,0.0,2007
Aedes aegypti,MX,26.5,-100.18,0.0,2009
Aedes aegypti,MX,16.88,-99.86,0.0,2009
Aedes aegypti,MX,25.95,-100.17,0.0,2009
Aedes aegypti,MX,25.73,-100.31,0.0,2009
Aedes aegypti,MX,18.01,-94.63,0.0,2009
Aedes aegypti,MX,20.57,-97.43,0.0,2009
Aedes aegypti,MX,22.04,-98.2,0.0,2009
Aedes aegypti,MX,18.34,-99.54,0.0,2009
Aedes aegypti,MX,19.17,-96.22,0.0,2007
Aedes aegypti,MX,20.96,-89.59,0.0,2009
Aedes aegypti,MX,20.07,-97.04,0.0,2009
Aedes aegypti,MX,20.07,-97.04,0.0,2007
Aedes aegypti,MX,21.34,-98.22,0.0,2009
Aedes aegypti,MX,19.17,-96.22,0.0,2009
Aedes aegypti,MX,17.03,-96.73,0.0,2002
Aedes aegypti,MX,15.87,-97.07,0.0,2002
Aedes aegypti,MX,17.0,-96.72,0.0,2002
Aedes aegypti,MX,17.18,-96.77,0.0,2002
Aedes aegypti,MX,17.07,-96.7,0.0,2002
Aedes aegypti,MX,19.69,-103.48,0.0,2010
Aedes aegypti,MX,19.73,-103.45,0.0,2010
