verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Ochlerotatus triseriatus,24.659139,-98.612917,0.0,2010
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,26.092222,-98.277778,50.0,1960
Aedes (Protomacleaya) triseriatus,26.092222,-98.277778,50.0,1960
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,27.486389,-99.508055,50.0,2002
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,17.990556,-92.928055,90.0,1954
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,26.092222,-98.277778,50.0,1960
Aedes (Protomacleaya) triseriatus,25.671111,-100.308333,50.0,1994
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,28.311667,-100.92,50.0,1960
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961
Aedes (Protomacleaya) triseriatus,25.398778,-100.1304,50.0,2005
Aedes (Protomacleaya) triseriatus,25.4906,-100.222267,50.0,2000
Aedes (Protomacleaya) triseriatus,25.869806,-100.289139,50.0,1994
Aedes (Protomacleaya) triseriatus,25.869806,-100.289139,50.0,1994
Aedes (Protomacleaya) triseriatus,25.30785,-100.049683,50.0,2001
