verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Nyssorhynchus) albimanus,15.674722,-93.368333,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.166389,-92.837778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.144444,-92.702778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.436944,-93.094167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.151389,-92.720555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.447222,-93.141667,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.643333,-93.384167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.58,-93.103611,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.133333,-92.672222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.452778,-93.161111,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.458333,-93.147222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.675,-93.369444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.433333,-93.122222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.275278,-92.888055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.190556,-92.690555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.280833,-92.903889,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.1375,-91.148889,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.438889,-93.094444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.094444,-92.150833,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.207222,-90.867778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.097222,-90.970833,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.335,-90.764167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.398333,-93.1025,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.566389,-93.133055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.117778,-90.874167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.144167,-92.701944,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.133333,-92.719444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.518889,-90.650555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.120278,-91.155555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.452222,-93.163889,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.425,-92.908333,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.4,-93.1,100.0,1990
Anopheles (Nyssorhynchus) albimanus,25.6,-109.049722,60.0,1990
Anopheles (Nyssorhynchus) albimanus,15.283333,-92.883333,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.450833,-93.163055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.67,-93.398055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.675833,-93.410555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.498611,-93.211111,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.152778,-92.722222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.727778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.116389,-92.676667,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.458056,-93.147222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.658333,-93.410278,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.821111,-90.890278,90.0,1990
Anopheles (Nyssorhynchus) albimanus,15.153333,-92.719444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.4525,-92.162222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.175833,-92.75,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.266389,-92.899167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.2,-92.883055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.644444,-93.386111,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.327778,-92.866667,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.654722,-93.414444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,19.204167,-104.682778,90.0,1990
Anopheles (Nyssorhynchus) albimanus,15.191667,-92.758333,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.659722,-93.411111,100.0,1990
Anopheles (Nyssorhynchus) albimanus,21.539444,-105.285278,80.0,1990
Anopheles (Nyssorhynchus) albimanus,15.431667,-93.12,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.449722,-93.166667,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.665833,-96.490278,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.459167,-93.149444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.956111,-91.899167,90.0,1990
Anopheles (Nyssorhynchus) albimanus,15.116667,-92.593055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.659167,-93.405555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.172222,-92.7,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.125,-92.491667,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.675,-93.38,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.269444,-92.897222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.0875,-91.094444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.449722,-93.133055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.431667,-93.119167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.6425,-93.384444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.438056,-93.093889,100.0,1990
Anopheles (Nyssorhynchus) albimanus,17.007222,-100.0875,100.0,1990
Anopheles (Nyssorhynchus) albimanus,19.06,-104.259722,90.0,1990
Anopheles (Nyssorhynchus) albimanus,16.269167,-90.535833,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.449722,-93.140278,100.0,1990
Anopheles (Nyssorhynchus) albimanus,20.848889,-90.261111,70.0,1995
Anopheles (Nyssorhynchus) albimanus,21.596111,-88.146389,70.0,1995
Anopheles (Nyssorhynchus) albimanus,20.858333,-90.383333,70.0,1995
Anopheles (Nyssorhynchus) albimanus,18.503611,-88.305278,80.0,1992
Anopheles (Nyssorhynchus) albimanus,20.912778,-90.380278,70.0,1995
Anopheles (Nyssorhynchus) albimanus,21.482778,-87.700555,70.0,1995
Anopheles (Nyssorhynchus) albimanus,20.977222,-90.355,70.0,1995
