verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
"Anopheles albimanus Wiedemann, 1820",14.9,-92.26611,0.0,1941
Anopheles (Nyssorhynchus) albimanus,15.178333,-92.843889,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.674722,-93.368333,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.156444,-92.72275,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.166389,-92.837778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.471111,-90.6425,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.144444,-92.702778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.436944,-93.094167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.151389,-92.720555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.416667,-95.026722,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.447222,-93.141667,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.804444,-90.9025,90.0,2002
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719444,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.643333,-93.384167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.390194,-95.120917,100.0,2001
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.176667,-92.838889,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.58,-93.103611,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.133333,-92.672222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.452778,-93.161111,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.515,-90.653889,100.0,2001
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.458333,-93.147222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.355639,-94.188555,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.156444,-92.72275,100.0,2001
Anopheles (Nyssorhynchus) albimanus,16.515,-90.653889,100.0,2001
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.675,-93.369444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.402806,-94.21625,100.0,2001
Anopheles (Nyssorhynchus) albimanus,17.702806,-92.016389,90.0,2002
Anopheles (Nyssorhynchus) albimanus,15.433333,-93.122222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.454806,-90.621805,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.275278,-92.888055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.762583,-90.998,90.0,2002
Anopheles (Nyssorhynchus) albimanus,15.190556,-92.690555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.280833,-92.903889,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.081639,-91.094555,100.0,2002
Anopheles (Nyssorhynchus) albimanus,17.7005,-92.019222,90.0,2002
Anopheles (Nyssorhynchus) albimanus,16.1375,-91.148889,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.438889,-93.094444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.091306,-95.406,100.0,2002
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.094444,-92.150833,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.207222,-90.867778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.144444,-92.702778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.097222,-90.970833,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.335,-90.764167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.801694,-90.913,90.0,2001
Anopheles (Nyssorhynchus) albimanus,15.398333,-93.1025,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.566389,-93.133055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.165556,-97.743889,100.0,2002
Anopheles (Nyssorhynchus) albimanus,16.117778,-90.874167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719722,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.675,-93.369444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.943611,-91.9575,90.0,2002
Anopheles (Nyssorhynchus) albimanus,15.144167,-92.701944,100.0,1990
Anopheles (Nyssorhynchus) albimanus,18.294444,-99.465555,90.0,2001
Anopheles (Nyssorhynchus) albimanus,16.357305,-95.027861,100.0,2001
Anopheles (Nyssorhynchus) albimanus,17.201278,-92.714889,90.0,2002
Anopheles (Nyssorhynchus) albimanus,15.133333,-92.719444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.518889,-90.650555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.448333,-90.614167,100.0,2002
Anopheles (Nyssorhynchus) albimanus,16.120278,-91.155555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002
Anopheles (Nyssorhynchus) albimanus,18.308333,-99.508333,90.0,2001
Anopheles (Nyssorhynchus) albimanus,15.452222,-93.163889,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.554778,-90.678833,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.425,-92.908333,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.4,-93.1,100.0,1990
Anopheles (Nyssorhynchus) albimanus,25.6,-109.049722,60.0,1990
Anopheles (Nyssorhynchus) albimanus,15.177111,-92.842139,100.0,2001
Anopheles (Nyssorhynchus) albimanus,16.564611,-95.094278,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719722,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719722,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.173611,-92.698611,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.283333,-92.883333,100.0,1990
Anopheles (Nyssorhynchus) albimanus,18.308333,-99.508333,90.0,2001
Anopheles (Nyssorhynchus) albimanus,16.414555,-95.025417,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.450833,-93.163055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.67,-93.398055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.675833,-93.410555,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.498611,-93.211111,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.152778,-92.722222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.727778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.557778,-94.605,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.452778,-93.161111,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.081111,-91.094444,100.0,2002
Anopheles (Nyssorhynchus) albimanus,16.279083,-94.156055,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.116389,-92.676667,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.4,-93.1,100.0,1990
Anopheles (Nyssorhynchus) albimanus,17.695278,-101.641389,90.0,2002
Anopheles (Nyssorhynchus) albimanus,15.447222,-93.141667,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.643333,-93.384167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.096667,-91.628889,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.458056,-93.147222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.658333,-93.410278,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.157778,-92.719444,100.0,2001
Anopheles (Nyssorhynchus) albimanus,16.821111,-90.890278,90.0,1990
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719722,100.0,2002
Anopheles (Nyssorhynchus) albimanus,16.0785,-91.099722,100.0,2001
Anopheles (Nyssorhynchus) albimanus,16.207222,-90.867778,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.153333,-92.719444,100.0,1990
Anopheles (Nyssorhynchus) albimanus,18.308333,-99.508333,90.0,2001
Anopheles (Nyssorhynchus) albimanus,16.404139,-90.702611,100.0,2002
Anopheles (Nyssorhynchus) albimanus,16.766944,-99.224722,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.15225,-92.726833,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.4525,-92.162222,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.175833,-92.75,100.0,1990
Anopheles (Nyssorhynchus) albimanus,16.763611,-90.99175,90.0,2001
Anopheles (Nyssorhynchus) albimanus,15.266389,-92.899167,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.15225,-92.726833,100.0,2002
Anopheles (Nyssorhynchus) albimanus,15.2,-92.883055,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.644444,-93.386111,100.0,1990
Anopheles (Nyssorhynchus) albimanus,15.977472,-93.776222,100.0,2001
Anopheles (Nyssorhynchus) albimanus,15.327778,-92.866667,100.0,1990
