verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Anopheles) pseudopunctipennis,23.061389,-109.708055,80.0,1938
Anopheles (Anopheles) pseudopunctipennis,31.739444,-106.486944,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.756944,-103.3675,90.0,1959
Anopheles (Anopheles) pseudopunctipennis,22.771667,-102.575278,70.0,1943
Anopheles (Anopheles) pseudopunctipennis,30.778056,-110.856389,70.0,1940
Anopheles (Anopheles) pseudopunctipennis,29.323056,-110.540833,70.0,1960
Anopheles (Anopheles) pseudopunctipennis,22.545,-102.790833,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,21.7975,-100.736111,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,30.375278,-107.948333,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.511389,-98.605278,90.0,1932
Anopheles (Anopheles) pseudopunctipennis,18.626389,-100.896944,90.0,1958
Anopheles (Anopheles) pseudopunctipennis,29.156944,-104.5725,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,30.334167,-109.378611,60.0,1955
Anopheles (Anopheles) pseudopunctipennis,16.994722,-92.891111,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,22.616389,-102.765833,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,17.470833,-91.426389,90.0,1941
Anopheles (Anopheles) pseudopunctipennis,29.156944,-104.5725,60.0,1942
Anopheles (Anopheles) pseudopunctipennis,17.067778,-96.72,100.0,1941
Anopheles (Anopheles) pseudopunctipennis,21.957778,-99.392222,70.0,1948
Anopheles (Anopheles) pseudopunctipennis,19.199167,-96.137778,80.0,1956
Anopheles (Anopheles) pseudopunctipennis,18.343611,-99.539167,90.0,1938
Anopheles (Anopheles) pseudopunctipennis,27.581389,-109.928333,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,25.671111,-100.308333,50.0,1941
Anopheles (Anopheles) pseudopunctipennis,22.533333,-99.219444,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,16.086389,-93.755,100.0,1959
Anopheles (Anopheles) pseudopunctipennis,21.909167,-100.884444,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,23.562222,-105.836389,70.0,1956
Anopheles (Anopheles) pseudopunctipennis,21.931944,-99.996667,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,18.600833,-98.465,90.0,1959
Anopheles (Anopheles) pseudopunctipennis,17.067778,-96.72,100.0,1942
Anopheles (Anopheles) pseudopunctipennis,18.854444,-99.227222,90.0,1956
Anopheles (Anopheles) pseudopunctipennis,16.706944,-93.013889,100.0,1938
Anopheles (Anopheles) pseudopunctipennis,17.318056,-96.493055,90.0,1948
Anopheles (Anopheles) pseudopunctipennis,22.232222,-102.055833,70.0,1955
Anopheles (Anopheles) pseudopunctipennis,21.981944,-99.009722,70.0,1938
Anopheles (Anopheles) pseudopunctipennis,17.330556,-96.487222,90.0,1942
Anopheles (Anopheles) pseudopunctipennis,15.761111,-96.453055,100.0,1957
Anopheles (Anopheles) pseudopunctipennis,25.671111,-100.308333,50.0,1933
Anopheles (Anopheles) pseudopunctipennis,18.315,-100.283889,90.0,1947
Anopheles (Anopheles) pseudopunctipennis,23.061389,-109.708055,80.0,1941
Anopheles (Anopheles) pseudopunctipennis,15.262222,-92.415,100.0,1945
Anopheles (Anopheles) pseudopunctipennis,20.676389,-103.346111,80.0,1939
Anopheles (Anopheles) pseudopunctipennis,21.878889,-102.3,80.0,1941
Anopheles (Anopheles) pseudopunctipennis,22.448611,-105.419444,80.0,1958
Anopheles (Anopheles) pseudopunctipennis,19.243056,-103.730555,90.0,1956
Anopheles (Anopheles) pseudopunctipennis,25.445278,-100.846667,50.0,1945
Anopheles (Anopheles) pseudopunctipennis,21.261111,-98.791667,70.0,1945
Anopheles (Anopheles) pseudopunctipennis,21.9175,-102.899167,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,25.793333,-108.992222,60.0,1926
Anopheles (Anopheles) pseudopunctipennis,19.063889,-96.365278,80.0,1959
Anopheles (Anopheles) pseudopunctipennis,19.54,-96.9275,80.0,1933
Anopheles (Anopheles) pseudopunctipennis,18.834722,-100.897222,90.0,1958
Anopheles (Anopheles) pseudopunctipennis,23.843611,-104.240833,70.0,1938
Anopheles (Anopheles) pseudopunctipennis,21.878889,-102.3,80.0,1955
Anopheles (Anopheles) pseudopunctipennis,15.138889,-92.465833,100.0,1959
Anopheles (Anopheles) pseudopunctipennis,19.163889,-101.725833,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,21.386111,-98.990278,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,19.516667,-104.716944,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,18.494444,-102.013055,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,19.426111,-102.061389,90.0,1951
Anopheles (Anopheles) pseudopunctipennis,22.648611,-102.990278,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,28.005833,-109.815555,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.023889,-94.674167,90.0,1942
Anopheles (Anopheles) pseudopunctipennis,22.192778,-102.02,70.0,1955
Anopheles (Anopheles) pseudopunctipennis,21.470278,-103.090833,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,22.192778,-102.02,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,17.798611,-96.959722,90.0,1950
Anopheles (Anopheles) pseudopunctipennis,25.793333,-108.992222,60.0,1939
Anopheles (Anopheles) pseudopunctipennis,18.343611,-99.539167,90.0,1936
Anopheles (Anopheles) pseudopunctipennis,21.237778,-98.815,70.0,1945
Anopheles (Anopheles) pseudopunctipennis,25.879722,-97.504167,50.0,1959
Anopheles (Anopheles) pseudopunctipennis,22.255278,-97.868611,70.0,1940
Anopheles (Anopheles) pseudopunctipennis,21.864167,-102.913333,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,16.077778,-97.559722,100.0,1957
Anopheles (Anopheles) pseudopunctipennis,21.957778,-99.392222,70.0,1933
Anopheles (Anopheles) pseudopunctipennis,18.356944,-102.289167,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,17.525556,-99.264444,90.0,1956
Anopheles (Anopheles) pseudopunctipennis,21.410278,-103.1175,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,25.671111,-100.308333,50.0,1945
Anopheles (Anopheles) pseudopunctipennis,18.896944,-96.997778,90.0,1948
Anopheles (Anopheles) pseudopunctipennis,20.977222,-99.213055,80.0,1942
Anopheles (Anopheles) pseudopunctipennis,18.504167,-95.035555,90.0,1965
Anopheles (Anopheles) pseudopunctipennis,20.676389,-103.346111,80.0,1940
Anopheles (Anopheles) pseudopunctipennis,17.431667,-95.024722,90.0,1939
Anopheles (Anopheles) pseudopunctipennis,28.635278,-106.088889,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.9625,-101.806111,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,21.846111,-102.718333,80.0,1955
Anopheles (Anopheles) pseudopunctipennis,17.548056,-92.952778,90.0,1946
Anopheles (Anopheles) pseudopunctipennis,16.752778,-93.116667,100.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.931389,-102.112778,90.0,1959
Anopheles (Anopheles) pseudopunctipennis,17.470833,-91.426389,90.0,1944
Anopheles (Anopheles) pseudopunctipennis,20.043333,-102.287222,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,18.891111,-96.931667,90.0,1945
Anopheles (Anopheles) pseudopunctipennis,15.145833,-92.422222,100.0,1959
Anopheles (Anopheles) pseudopunctipennis,23.061389,-109.708055,80.0,1933
Anopheles (Anopheles) pseudopunctipennis,24.023611,-104.669722,70.0,1938
Anopheles (Anopheles) pseudopunctipennis,19.320278,-103.76,90.0,1956
Anopheles (Anopheles) pseudopunctipennis,26.708611,-108.325833,60.0,1956
Anopheles (Anopheles) pseudopunctipennis,21.140278,-98.42,80.0,1947
Anopheles (Anopheles) pseudopunctipennis,21.931944,-99.996667,70.0,1948
Anopheles (Anopheles) pseudopunctipennis,20.967778,-89.621667,70.0,1928
Anopheles (Anopheles) pseudopunctipennis,21.920278,-99.391667,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,20.816667,-102.761111,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,23.473056,-104.395555,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,18.906389,-98.970278,90.0,1955
Anopheles (Anopheles) pseudopunctipennis,17.299167,-96.481111,90.0,1948
Anopheles (Anopheles) pseudopunctipennis,21.2975,-100.093889,80.0,1952
Anopheles (Anopheles) pseudopunctipennis,19.653333,-96.873611,80.0,1945
Anopheles (Anopheles) pseudopunctipennis,20.583333,-103.856389,80.0,1948
Anopheles (Anopheles) pseudopunctipennis,28.547778,-107.485555,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.906389,-98.970278,90.0,1969
Anopheles (Anopheles) pseudopunctipennis,15.364167,-92.248055,100.0,1957
Anopheles (Anopheles) pseudopunctipennis,22.636389,-105.319444,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,22.158333,-102.843889,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,17.330556,-96.487222,90.0,1948
Anopheles (Anopheles) pseudopunctipennis,29.19,-108.141389,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,28.153611,-109.909167,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,21.981944,-99.009722,70.0,1948
Anopheles (Anopheles) pseudopunctipennis,19.360833,-101.094444,90.0,1959
Anopheles (Anopheles) pseudopunctipennis,19.54,-96.9275,80.0,1937
Anopheles (Anopheles) pseudopunctipennis,20.676389,-103.346111,80.0,1948
Anopheles (Anopheles) pseudopunctipennis,16.495,-96.106111,100.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.914444,-96.941944,90.0,1947
Anopheles (Anopheles) pseudopunctipennis,21.920278,-99.391667,70.0,1948
Anopheles (Anopheles) pseudopunctipennis,16.995833,-96.780555,100.0,1956
Anopheles (Anopheles) pseudopunctipennis,22.4775,-99.512222,70.0,1957
Anopheles (Anopheles) pseudopunctipennis,18.591111,-98.555555,90.0,1948
Anopheles (Anopheles) pseudopunctipennis,21.386111,-98.990278,70.0,1951
Anopheles (Anopheles) pseudopunctipennis,26.416111,-108.617222,60.0,1943
Anopheles (Anopheles) pseudopunctipennis,25.671111,-100.308333,50.0,1942
Anopheles (Anopheles) pseudopunctipennis,18.518333,-98.578611,90.0,1959
Anopheles (Anopheles) pseudopunctipennis,21.878889,-102.3,80.0,1942
Anopheles (Anopheles) pseudopunctipennis,28.856667,-110.956389,70.0,1960
Anopheles (Anopheles) pseudopunctipennis,25.539444,-100.9475,50.0,1945
Anopheles (Anopheles) pseudopunctipennis,15.156944,-92.4175,100.0,1947
Anopheles (Anopheles) pseudopunctipennis,23.236111,-106.415278,70.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.626389,-100.896944,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,16.752778,-93.116667,100.0,1941
Anopheles (Anopheles) pseudopunctipennis,19.275,-99.138889,80.0,1938
Anopheles (Anopheles) pseudopunctipennis,22.396944,-105.456944,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,23.736111,-99.146111,60.0,1934
Anopheles (Anopheles) pseudopunctipennis,30.413333,-107.9125,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,16.533056,-94.7025,100.0,1956
Anopheles (Anopheles) pseudopunctipennis,19.418333,-100.906944,90.0,1958
Anopheles (Anopheles) pseudopunctipennis,19.821944,-101.715833,80.0,1937
Anopheles (Anopheles) pseudopunctipennis,21.710556,-102.282222,80.0,1957
Anopheles (Anopheles) pseudopunctipennis,22.055278,-98.1775,70.0,1942
Anopheles (Anopheles) pseudopunctipennis,24.802222,-107.138611,50.0,1956
Anopheles (Anopheles) pseudopunctipennis,24.764722,-107.701111,50.0,1956
Anopheles (Anopheles) pseudopunctipennis,19.481111,-104.639167,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,16.562778,-95.1,100.0,1940
Anopheles (Anopheles) pseudopunctipennis,16.654167,-95.909722,100.0,1945
Anopheles (Anopheles) pseudopunctipennis,16.871111,-99.897778,100.0,1932
Anopheles (Anopheles) pseudopunctipennis,20.140278,-97.001389,80.0,1956
Anopheles (Anopheles) pseudopunctipennis,21.975,-99.256944,70.0,1948
Anopheles (Anopheles) pseudopunctipennis,21.261111,-98.791667,70.0,1942
Anopheles (Anopheles) pseudopunctipennis,18.854444,-99.227222,90.0,1940
Anopheles (Anopheles) pseudopunctipennis,20.676389,-103.346111,80.0,1941
Anopheles (Anopheles) pseudopunctipennis,27.551111,-110.083055,60.0,1940
Anopheles (Anopheles) pseudopunctipennis,15.175,-92.283889,100.0,1946
Anopheles (Anopheles) pseudopunctipennis,19.088056,-102.350833,90.0,1950
Anopheles (Anopheles) pseudopunctipennis,21.779444,-100.629722,70.0,1959
Anopheles (Anopheles) pseudopunctipennis,23.287778,-106.066389,70.0,1958
Anopheles (Anopheles) pseudopunctipennis,15.441667,-92.891667,100.0,1959
Anopheles (Anopheles) pseudopunctipennis,27.023333,-108.932222,60.0,1943
Anopheles (Anopheles) pseudopunctipennis,20.341944,-101.963055,80.0,1959
Anopheles (Anopheles) pseudopunctipennis,17.318056,-96.493055,90.0,1940
Anopheles (Anopheles) pseudopunctipennis,17.470833,-91.426389,90.0,1942
Anopheles (Anopheles) pseudopunctipennis,22.255278,-97.868611,70.0,1925
Anopheles (Anopheles) pseudopunctipennis,17.067778,-96.72,100.0,1940
Anopheles (Anopheles) pseudopunctipennis,16.752778,-93.116667,100.0,1956
Anopheles (Anopheles) pseudopunctipennis,22.743333,-98.971389,70.0,1938
Anopheles (Anopheles) pseudopunctipennis,15.208333,-92.366944,100.0,1947
Anopheles (Anopheles) pseudopunctipennis,16.233889,-93.898611,100.0,1959
Anopheles (Anopheles) pseudopunctipennis,16.871111,-99.897778,100.0,1947
Anopheles (Anopheles) pseudopunctipennis,20.967778,-89.621667,70.0,1956
Anopheles (Anopheles) pseudopunctipennis,19.4375,-98.954167,80.0,1946
Anopheles (Anopheles) pseudopunctipennis,23.736111,-99.146111,60.0,1935
Anopheles (Anopheles) pseudopunctipennis,28.405,-106.866667,60.0,1956
Anopheles (Anopheles) pseudopunctipennis,17.804722,-97.776111,90.0,1949
Anopheles (Anopheles) pseudopunctipennis,16.652778,-95.015278,100.0,1940
Anopheles (Anopheles) pseudopunctipennis,18.896944,-96.997778,90.0,1946
Anopheles (Anopheles) pseudopunctipennis,21.846111,-102.718333,80.0,1941
Anopheles (Anopheles) pseudopunctipennis,18.591111,-98.555555,90.0,1947
Anopheles (Anopheles) pseudopunctipennis,17.534444,-96.553333,90.0,1948
Anopheles (Anopheles) pseudopunctipennis,20.5875,-100.392778,80.0,1941
Anopheles (Anopheles) pseudopunctipennis,16.669444,-96.308333,0.0,1940
Anopheles (Anopheles) pseudopunctipennis,23.736111,-99.146111,60.0,1942
Anopheles (Anopheles) pseudopunctipennis,19.422778,-96.963611,80.0,1945
Anopheles (Anopheles) pseudopunctipennis,16.871111,-99.897778,100.0,1933
Anopheles (Anopheles) pseudopunctipennis,15.686667,-93.209167,100.0,1959
Anopheles (Anopheles) pseudopunctipennis,16.233889,-93.898611,100.0,1957
Anopheles (Anopheles) pseudopunctipennis,18.713333,-98.261111,90.0,1959
Anopheles (Anopheles) pseudopunctipennis,19.206667,-101.707778,90.0,1957
Anopheles (Anopheles) pseudopunctipennis,19.088056,-102.350833,90.0,1941
Anopheles (Anopheles) pseudopunctipennis,17.067778,-96.72,100.0,1948
Anopheles (Anopheles) pseudopunctipennis,26.708611,-108.325833,60.0,1943
Anopheles (Anopheles) pseudopunctipennis,20.965,-99.201111,80.0,1942
Anopheles (Anopheles) pseudopunctipennis,18.151944,-95.144444,90.0,1958
Anopheles (Anopheles) pseudopunctipennis,23.723056,-106.780555,70.0,1941
Anopheles pseudopunctipennis,23.05045,-109.68387,0.0,1966
Anopheles pseudopunctipennis,17.05078,-96.71692,0.0,1965
Anopheles pseudopunctipennis,22.80049,-98.70031,0.0,1965
Anopheles pseudopunctipennis,22.73383,-98.95031,0.0,1965
Anopheles pseudopunctipennis,25.66516,-100.25574,0.0,1965
Anopheles pseudopunctipennis,16.20082,-95.23356,0.0,1964
Anopheles pseudopunctipennis,18.81735,-96.71692,0.0,1964
Anopheles pseudopunctipennis,25.66703,-100.31702,0.0,1947
