verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes aegypti,MX,18.5,-99.56,0.0,1988,18.75346,12.18675,68.12705,150.39305,28.20025,10.31198,17.88827,20.63596,17.08993,1093.16223,237.48309,5.09911,106.12151,668.44141,19.29097,1759.0
Aedes aegypti,MX,25.88,-97.5,0.0,1996,22.53559,10.9274,41.99839,543.84595,34.74298,8.72437,26.01861,28.64001,16.9068,594.94189,78.74658,19.66193,40.82085,201.04932,82.39289,15.0
Aedes aegypti,MX,22.21,-97.85,0.0,1996,24.1122,9.17736,47.91599,370.9418,32.79956,13.64653,19.15303,27.94821,19.96097,1086.38306,294.3349,12.51144,91.78167,580.36157,60.38861,6.0
Aedes aegypti,MX,26.08,-98.28,0.0,1996,22.76682,12.29347,43.80365,588.24341,36.31907,8.25412,28.06495,29.3387,16.46186,536.08966,92.8556,13.15273,49.42189,197.93761,80.75423,47.5
Aedes aegypti,MX,25.81,-98.37,0.0,1995,22.46206,12.59911,44.13198,586.64783,36.01672,7.46802,28.5487,29.00979,16.21685,535.0965,83.61633,16.25717,45.2913,175.75136,79.78489,102.5
Aedes aegypti,MX,26.08,-98.28,0.0,1995,22.76682,12.29347,43.80365,588.24341,36.31907,8.25412,28.06495,29.3387,16.46186,536.08966,92.8556,13.15273,49.42189,197.93761,80.75423,47.5
Aedes aegypti,MX,26.08,-98.29,0.0,1996,22.75673,12.2951,43.80045,588.50018,36.31527,8.24457,28.0707,29.33109,16.4463,536.93475,92.46614,13.2975,49.21867,197.94859,80.82637,48.0
Aedes aegypti,MX,24.93,-98.64,0.0,1995,23.44493,14.31371,49.64565,536.34247,37.39364,8.56188,28.83176,29.44486,17.59169,626.64728,121.0715,21.70594,53.11641,227.92361,82.99754,153.0
Aedes aegypti,MX,25.78,-103.27,0.0,1993,20.93837,16.73712,55.18281,531.99475,35.1017,4.77139,30.33031,26.75035,14.9548,209.00934,35.77514,2.41951,61.30028,93.88203,13.71785,1110.0
Aedes aegypti,MX,28.71,-100.52,0.0,1993,21.74141,13.62804,42.90965,688.04608,37.33939,5.57953,31.75986,29.82362,14.40936,518.08307,72.86407,18.92151,45.75319,190.89099,68.55163,223.5
Aedes aegypti,MX,20.94,-89.62,0.0,1990,25.76251,13.52735,64.65132,215.70418,36.32477,15.40123,20.92354,27.99631,23.16909,1019.25275,169.77609,24.0409,69.23034,480.4061,77.10971,13.0
Aedes aegypti,MX,25.87,-97.51,0.0,1995,22.53498,10.95654,42.02853,544.57532,34.76535,8.69607,26.06928,28.64673,16.89782,592.86969,78.42409,19.50792,40.95601,200.48566,82.12864,12.0
