verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes aegypti,MX,20.96,-89.61,0.0,1980,25.76422,13.47212,64.62598,215.14006,36.26726,15.42097,20.84629,27.98497,23.17825,1018.64746,171.00349,23.99991,69.30621,482.82541,76.14883,12.0
Aedes aegypti,MX,22.3,-97.85,0.0,1980,24.08632,9.1832,47.72478,373.59491,32.8491,13.60711,19.24199,27.97204,19.92286,1072.04553,295.75171,12.42788,93.83689,580.35645,58.10246,13.5
Aedes aegypti,MX,18.5,-99.56,0.0,1988,18.75346,12.18675,68.12705,150.39305,28.20025,10.31198,17.88827,20.63596,17.08993,1093.16223,237.48309,5.09911,106.12151,668.44141,19.29097,1759.0
Aedes aegypti,MX,27.45,-110.1,0.0,2005,23.75885,16.56885,54.90125,573.99139,38.26044,8.08108,30.17936,30.73977,17.66892,342.53702,88.41199,0.45069,102.74337,227.61328,7.61913,19.0
Aedes aegypti,MX,26.91,-109.63,0.0,2005,23.1573,16.06689,55.50194,545.14343,36.75064,7.80231,28.94834,29.85797,17.32685,331.78958,74.79304,0.46253,96.36411,210.3922,5.82112,16.5
Aedes aegypti,MX,21.81,-105.21,0.0,1984,25.6145,13.1878,62.04676,281.93634,34.68227,13.42766,21.25461,28.54636,22.53929,1378.27295,413.50241,1.25514,130.38388,1066.26428,12.8216,18.0
Aedes aegypti,MX,25.53,-108.6,0.0,2006,24.78996,14.71748,56.81852,457.04608,36.62495,10.72233,25.90262,30.12254,19.87475,463.36575,116.7619,0.26245,110.13046,318.48007,6.71736,7.5
Aedes aegypti,MX,24.25,-107.18,0.0,2006,24.83889,14.62866,58.13195,392.21881,36.04766,10.88309,25.16457,29.4226,20.69802,607.47931,140.83771,0.58927,105.91095,386.936,9.42955,16.0
Aedes aegypti,MX,25.88,-97.5,0.0,1996,22.53559,10.9274,41.99839,543.84595,34.74298,8.72437,26.01861,28.64001,16.9068,594.94189,78.74658,19.66193,40.82085,201.04932,82.39289,15.0
Aedes aegypti,MX,22.21,-97.85,0.0,1996,24.1122,9.17736,47.91599,370.9418,32.79956,13.64653,19.15303,27.94821,19.96097,1086.38306,294.3349,12.51144,91.78167,580.36157,60.38861,6.0
Aedes aegypti,MX,26.08,-98.28,0.0,1996,22.76682,12.29347,43.80365,588.24341,36.31907,8.25412,28.06495,29.3387,16.46186,536.08966,92.8556,13.15273,49.42189,197.93761,80.75423,47.5
Aedes aegypti,MX,19.38,-96.39,0.0,2009,25.13489,11.50798,60.21684,241.77095,34.32039,15.20948,19.11091,27.52504,22.35972,1030.42834,275.41019,7.15535,111.32456,667.31372,29.96136,25.0
Aedes aegypti,MX,18.73,-99.01,0.0,2009,22.08322,15.31547,67.32216,195.92043,33.51472,10.7652,22.74952,24.3378,19.79004,839.81299,182.8167,3.54446,109.37509,514.48126,11.66832,1219.5
Aedes aegypti,MX,21.78,-104.87,0.0,2009,25.8257,14.07523,62.14147,263.4201,36.29477,13.64447,22.6503,28.49809,22.92131,1176.02576,320.3512,0.81084,125.2046,887.2973,13.88288,146.5
Aedes aegypti,MX,17.67,-99.88,0.0,2009,14.30002,12.88975,70.5993,120.1203,22.98871,4.73109,18.25762,15.41273,12.9193,1396.25342,307.84879,7.37362,104.88457,867.86096,29.92896,2522.5
Aedes aegypti,MX,24.98,-107.49,0.0,2009,24.80627,16.10819,61.29194,401.78757,36.40489,10.12379,26.2811,29.44995,20.50284,774.79742,213.2764,0.92722,118.83285,566.49652,9.07514,119.0
Aedes aegypti,MX,19.2,-101.89,0.0,2009,25.85936,16.77804,67.74421,179.15274,38.61351,13.84676,24.76675,27.83497,23.98551,797.81604,196.66521,1.09546,110.57635,515.67572,5.06584,493.0
Aedes aegypti,MX,20.57,-103.24,0.0,2009,19.37479,15.83594,63.05408,252.19705,32.23452,7.11967,25.11485,22.18667,16.39216,875.34863,239.8378,2.93726,121.51122,617.03607,10.1294,1571.5
Aedes aegypti,MX,20.94,-101.47,0.0,2009,18.595,16.77346,63.70384,278.91919,31.7699,5.43952,26.33038,21.65543,15.35025,650.62097,175.94479,4.60327,109.73955,426.70898,17.27788,1773.0
Aedes aegypti,MX,25.87,-97.51,0.0,2005,22.53498,10.95654,42.02853,544.57532,34.76535,8.69607,26.06928,28.64673,16.89782,592.86969,78.42409,19.50792,40.95601,200.48566,82.12864,12.0
Aedes aegypti,MX,20.98,-89.62,0.0,1980,25.77433,13.41835,64.5747,214.84976,36.22807,15.44849,20.77958,27.98562,23.19246,1007.65771,167.64059,23.80094,69.02136,475.60818,75.37756,12.0
Aedes aegypti,MX,19.14,-103.93,0.0,2009,23.18171,15.92533,70.95116,157.36302,33.64422,11.19873,22.44549,24.78308,21.49921,975.2984,231.0213,0.44313,115.64097,674.44067,4.48981,636.0
Aedes aegypti,MX,25.81,-98.37,0.0,1995,22.46206,12.59911,44.13198,586.64783,36.01672,7.46802,28.5487,29.00979,16.21685,535.0965,83.61633,16.25717,45.2913,175.75136,79.78489,102.5
