verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
"Anopheles albimanus Wiedemann, 1820",14.9,-92.26611,0.0,1941,26.77715,12.81737,74.58828,93.53146,34.95547,17.77131,17.18416,27.74342,25.77108,2662.97754,507.88071,6.96241,88.06167,1310.6272,57.77756,155.5
Anopheles (Nyssorhynchus) albimanus,15.674722,-93.368333,100.0,1990,27.98261,12.05791,73.88103,94.62661,35.60293,19.28222,16.32071,28.9561,27.06709,2296.22266,492.11411,2.93458,101.29662,1309.79041,28.80406,10.0
Anopheles (Nyssorhynchus) albimanus,15.156444,-92.72275,100.0,2001,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,16.471111,-90.6425,100.0,2002,24.72601,11.24245,59.50714,211.9603,34.55733,15.66473,18.8926,26.7896,22.12596,2664.78223,485.23541,51.92596,70.5137,1308.91028,188.37695,135.0
Anopheles (Nyssorhynchus) albimanus,15.144444,-92.702778,100.0,1990,27.6102,12.98798,74.42072,101.7368,35.55984,18.10774,17.4521,28.44086,26.47765,2994.34863,595.90472,6.74547,93.41592,1597.35474,47.99712,8.0
Anopheles (Nyssorhynchus) albimanus,15.436944,-93.094167,100.0,1990,27.69332,12.50548,75.20911,91.39208,35.47797,18.85035,16.62762,28.5792,26.76687,2661.1626,555.64398,4.16038,98.89058,1507.37683,37.0805,8.0
Anopheles (Nyssorhynchus) albimanus,15.151389,-92.720555,100.0,1990,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,16.416667,-95.026722,100.0,2002,27.15306,10.44619,61.79608,164.43501,35.39917,18.49488,16.90429,28.6317,25.24541,940.42578,223.2905,1.40698,114.91698,578.80347,9.08853,21.0
Anopheles (Nyssorhynchus) albimanus,15.447222,-93.141667,100.0,1990,27.74827,12.42944,75.19502,90.89916,35.48462,18.95501,16.52961,28.63124,26.84532,2618.2644,548.5481,3.85229,99.16425,1484.55896,35.70174,9.0
Anopheles (Nyssorhynchus) albimanus,16.804444,-90.9025,90.0,2002,25.51879,12.28769,59.99275,230.52408,36.52838,16.04643,20.48195,27.86547,22.74072,2357.84766,421.84589,51.51122,65.14369,1076.1427,190.56859,109.0
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719444,100.0,2002,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,15.643333,-93.384167,100.0,1990,27.98528,12.03556,74.17303,93.18637,35.5595,19.33318,16.22632,28.9291,27.09781,2297.37695,490.18729,2.80172,101.23489,1309.29688,28.54305,10.0
Anopheles (Nyssorhynchus) albimanus,16.390194,-95.120917,100.0,2001,27.19365,10.525,62.61239,159.02756,35.31676,18.50699,16.80977,28.61977,25.35205,885.92517,212.7379,1.26109,115.44014,552.22284,8.23981,16.0
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Nyssorhynchus) albimanus,15.58,-93.103611,100.0,1990,27.52099,12.47954,73.44835,98.68118,35.55828,18.56737,16.99091,28.59854,26.48712,2557.00854,545.85779,3.67482,99.77595,1458.47925,35.97858,26.5
Anopheles (Nyssorhynchus) albimanus,15.133333,-92.672222,100.0,1990,27.6361,12.96846,74.60183,101.3633,35.55017,18.1666,17.38357,28.48702,26.50609,2987.63965,592.9696,6.78787,93.06361,1585.18445,48.07009,12.0
Anopheles (Nyssorhynchus) albimanus,15.452778,-93.161111,100.0,1990,27.77688,12.38551,75.15992,90.7293,35.48883,19.00996,16.47887,28.66064,26.88588,2591.42065,544.09802,3.68292,99.34515,1470.35339,34.89753,10.0
Anopheles (Nyssorhynchus) albimanus,16.515,-90.653889,100.0,2001,24.78491,11.36827,59.62535,213.50569,34.7036,15.63743,19.06617,26.86001,22.16476,2618.28613,474.46811,51.08434,69.78331,1276.3407,187.53557,138.0
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Nyssorhynchus) albimanus,15.458333,-93.147222,100.0,1990,27.76283,12.41281,75.12184,91.07751,35.49785,18.97428,16.52357,28.65219,26.86035,2605.93604,546.75708,3.79506,99.25696,1478.37488,35.40257,9.0
Anopheles (Nyssorhynchus) albimanus,16.355639,-94.188555,100.0,2001,27.15879,13.17409,70.39133,137.10332,35.9892,17.2737,18.7155,28.34449,25.53683,1100.71484,235.91901,2.28288,104.17532,635.65491,10.94518,46.0
Anopheles (Nyssorhynchus) albimanus,15.156444,-92.72275,100.0,2001,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,16.515,-90.653889,100.0,2001,24.78491,11.36827,59.62535,213.50569,34.7036,15.63743,19.06617,26.86001,22.16476,2618.28613,474.46811,51.08434,69.78331,1276.3407,187.53557,138.0
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Nyssorhynchus) albimanus,15.675,-93.369444,100.0,1990,27.94575,12.06356,73.81122,94.9002,35.58016,19.23636,16.3438,28.92709,27.02322,2292.29883,491.8255,2.92323,101.35947,1307.93738,28.7162,10.0
Anopheles (Nyssorhynchus) albimanus,16.402806,-94.21625,100.0,2001,26.99856,13.36399,69.52735,145.00502,36.11052,16.88932,19.2212,28.28754,25.26787,1131.7865,245.8338,2.69077,104.22623,654.05493,11.34089,85.0
Anopheles (Nyssorhynchus) albimanus,17.702806,-92.016389,90.0,2002,26.28609,10.91312,60.82777,204.16359,35.46676,17.52574,17.94102,28.27843,23.77899,2106.6062,370.5592,57.23834,55.81234,782.27728,220.29956,13.5
Anopheles (Nyssorhynchus) albimanus,15.433333,-93.122222,100.0,1990,27.71873,12.46353,75.34775,90.53394,35.4567,18.91535,16.54135,28.58809,26.81504,2642.85522,552.0625,3.97305,98.9755,1496.74146,36.30441,10.0
Anopheles (Nyssorhynchus) albimanus,16.454806,-90.621805,100.0,2001,24.78595,11.17697,59.41984,211.48363,34.55066,15.7405,18.81016,26.84039,22.19053,2673.00854,487.00769,51.67297,70.84819,1319.82825,187.34726,135.0
Anopheles (Nyssorhynchus) albimanus,15.275278,-92.888055,100.0,1990,27.42613,12.87688,75.94238,91.87975,35.27415,18.31803,16.95612,28.21598,26.43885,2928.33887,593.30737,6.0141,96.10462,1617.26257,45.10587,6.0
Anopheles (Nyssorhynchus) albimanus,16.762583,-90.998,90.0,2002,25.40315,12.51849,60.35987,232.07907,36.68976,15.95,20.73976,27.80507,22.6301,2394.9187,430.87009,54.41219,65.85452,1090.62646,194.06702,149.0
Anopheles (Nyssorhynchus) albimanus,15.190556,-92.690555,100.0,1990,27.50754,13.02531,74.38423,101.1416,35.53378,18.02293,17.51085,28.38917,26.37119,3071.50049,611.99268,7.34241,93.29544,1639.37964,50.92297,14.0
Anopheles (Nyssorhynchus) albimanus,15.280833,-92.903889,100.0,1990,27.41695,12.85843,76.11677,90.96875,35.23897,18.34594,16.89303,28.19445,26.44656,2914.50024,590.97369,5.84617,96.27065,1612.12134,44.50794,5.0
Anopheles (Nyssorhynchus) albimanus,16.081639,-91.094555,100.0,2002,24.98471,10.05372,58.31379,192.53807,33.80743,16.56671,17.24072,26.8276,22.63666,3245.00928,645.44708,51.2506,81.92896,1739.81506,197.96324,180.0
Anopheles (Nyssorhynchus) albimanus,17.7005,-92.019222,90.0,2002,26.28792,10.90554,60.77982,204.49088,35.47001,17.52731,17.9427,28.28626,23.77812,2110.28467,371.16379,57.23679,55.80568,783.66827,220.52615,13.5
Anopheles (Nyssorhynchus) albimanus,16.1375,-91.148889,100.0,1990,24.95409,10.22305,58.52966,193.68213,33.9134,16.44696,17.46644,26.80685,22.59384,3157.25122,617.40521,52.27181,80.72414,1665.40588,199.56038,193.5
Anopheles (Nyssorhynchus) albimanus,15.438889,-93.094444,100.0,1990,27.69332,12.50548,75.20911,91.39208,35.47797,18.85035,16.62762,28.5792,26.76687,2661.1626,555.64398,4.16038,98.89058,1507.37683,37.0805,8.0
