verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
Lutzomyia (Tricholateralis) cruciata,MX,18.533333,-90.474722,80,1995,25.58444,13.69084,63.0663,223.03061,36.84522,15.13657,21.70865,27.81034,22.82161,1208.65784,223.6051,22.35488,71.17152,579.72351,77.51065,92.5
