verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006,25.86431,10.14716,63.32111,188.36444,33.23171,17.20679,16.02492,27.62516,23.63417,1351.94141,199.1855,33.35601,54.1928,508.70779,112.03265,13.0
