fid,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation,X,Y
"1",21.94234,13.6734,52.19342,474.0463,34.73323,8.53567,26.19756,27.25118,16.73106,653.5213,127.7714,17.91544,57.4801,255.86707,74.31711,442,-98.612917,24.659139
"2",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"3",,,,,,,,,,,,,,,,,-98.277778,26.092222
"4",,,,,,,,,,,,,,,,,-98.277778,26.092222
"5",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"6",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"7",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"8",22.25534,11.98392,40.02913,669.69171,36.71679,6.7788,29.93799,29.95335,15.00163,512.87421,78.52092,23.20176,41.93898,170.74292,77.59315,129,-99.508055,27.486389
"9",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"10",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"11",26.33479,11.00872,59.93321,231.35344,35.59879,17.23047,18.36832,28.63582,23.54048,2146.19727,353.18188,42.77826,55.68017,802.28345,200.86447,21.5,-92.928055,17.990556
"12",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"13",,,,,,,,,,,,,,,,,-98.277778,26.092222
"14",21.28453,13.4672,48.73159,532.66241,34.59365,6.95818,27.63547,27.38129,15.34012,576.4248,151.4305,13.52749,80.84184,277.23291,45.80057,527,-100.308333,25.671111
"15",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"16",21.07731,15.2634,46.74374,653.80188,37.42543,4.77207,32.65336,28.75051,14.18765,499.11844,81.01583,15.93925,51.3372,195.97328,58.56035,414.5,-100.92,28.311667
"17",21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5,-100.888055,28.407778
"18",21.28833,13.69216,48.76185,533.12006,34.88558,6.80593,28.07965,27.37387,15.35527,840.46234,212.60291,20.19461,79.82504,389.29703,63.90692,471.5,-100.1304,25.398778
"19",20.63806,13.29262,49.4198,505.03168,33.56845,6.67109,26.89737,26.40536,15.03379,730.70123,196.45461,15.23826,86.1034,360.20813,47.66558,639,-100.222267,25.4906
"20",21.68644,13.5399,47.99236,558.10767,35.18346,6.97084,28.21262,28.05713,15.44754,491.98416,118.2626,13.78136,70.48601,228.81773,48.40052,471,-100.289139,25.869806
"21",21.68644,13.5399,47.99236,558.10767,35.18346,6.97084,28.21262,28.05713,15.44754,491.98416,118.2626,13.78136,70.48601,228.81773,48.40052,471,-100.289139,25.869806
"22",21.36056,13.82049,48.80762,536.76764,35.13177,6.81551,28.31626,27.4732,15.35861,839.96997,210.39931,20.44664,77.13848,377.17773,68.98486,468.5,-100.049683,25.30785
