verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes aegypti,MX,27.45,-110.1,0.0,2005,23.75885,16.56885,54.90125,573.99139,38.26044,8.08108,30.17936,30.73977,17.66892,342.53702,88.41199,0.45069,102.74337,227.61328,7.61913,19.0
Aedes aegypti,MX,26.91,-109.63,0.0,2005,23.1573,16.06689,55.50194,545.14343,36.75064,7.80231,28.94834,29.85797,17.32685,331.78958,74.79304,0.46253,96.36411,210.3922,5.82112,16.5
Aedes aegypti,MX,25.53,-108.6,0.0,2006,24.78996,14.71748,56.81852,457.04608,36.62495,10.72233,25.90262,30.12254,19.87475,463.36575,116.7619,0.26245,110.13046,318.48007,6.71736,7.5
Aedes aegypti,MX,24.25,-107.18,0.0,2006,24.83889,14.62866,58.13195,392.21881,36.04766,10.88309,25.16457,29.4226,20.69802,607.47931,140.83771,0.58927,105.91095,386.936,9.42955,16.0
Aedes aegypti,MX,19.38,-96.39,0.0,2009,25.13489,11.50798,60.21684,241.77095,34.32039,15.20948,19.11091,27.52504,22.35972,1030.42834,275.41019,7.15535,111.32456,667.31372,29.96136,25.0
Aedes aegypti,MX,18.73,-99.01,0.0,2009,22.08322,15.31547,67.32216,195.92043,33.51472,10.7652,22.74952,24.3378,19.79004,839.81299,182.8167,3.54446,109.37509,514.48126,11.66832,1219.5
Aedes aegypti,MX,21.78,-104.87,0.0,2009,25.8257,14.07523,62.14147,263.4201,36.29477,13.64447,22.6503,28.49809,22.92131,1176.02576,320.3512,0.81084,125.2046,887.2973,13.88288,146.5
Aedes aegypti,MX,17.67,-99.88,0.0,2009,14.30002,12.88975,70.5993,120.1203,22.98871,4.73109,18.25762,15.41273,12.9193,1396.25342,307.84879,7.37362,104.88457,867.86096,29.92896,2522.5
Aedes aegypti,MX,24.98,-107.49,0.0,2009,24.80627,16.10819,61.29194,401.78757,36.40489,10.12379,26.2811,29.44995,20.50284,774.79742,213.2764,0.92722,118.83285,566.49652,9.07514,119.0
Aedes aegypti,MX,19.2,-101.89,0.0,2009,25.85936,16.77804,67.74421,179.15274,38.61351,13.84676,24.76675,27.83497,23.98551,797.81604,196.66521,1.09546,110.57635,515.67572,5.06584,493.0
Aedes aegypti,MX,20.57,-103.24,0.0,2009,19.37479,15.83594,63.05408,252.19705,32.23452,7.11967,25.11485,22.18667,16.39216,875.34863,239.8378,2.93726,121.51122,617.03607,10.1294,1571.5
Aedes aegypti,MX,20.94,-101.47,0.0,2009,18.595,16.77346,63.70384,278.91919,31.7699,5.43952,26.33038,21.65543,15.35025,650.62097,175.94479,4.60327,109.73955,426.70898,17.27788,1773.0
Aedes aegypti,MX,25.87,-97.51,0.0,2005,22.53498,10.95654,42.02853,544.57532,34.76535,8.69607,26.06928,28.64673,16.89782,592.86969,78.42409,19.50792,40.95601,200.48566,82.12864,12.0
Aedes aegypti,MX,19.14,-103.93,0.0,2009,23.18171,15.92533,70.95116,157.36302,33.64422,11.19873,22.44549,24.78308,21.49921,975.2984,231.0213,0.44313,115.64097,674.44067,4.48981,636.0
Aedes aegypti,MX,26.92,-109.63,0.0,2005,23.16118,16.0919,55.51929,545.67792,36.77771,7.79337,28.98433,29.86524,17.32449,335.03391,75.87679,0.46195,96.63795,213.00101,5.92041,15.5
Aedes aegypti,MX,20.98,-89.62,0.0,2008,25.77433,13.41835,64.5747,214.84976,36.22807,15.44849,20.77958,27.98562,23.19246,1007.65771,167.64059,23.80094,69.02136,475.60818,75.37756,12.0
Aedes aegypti,MX,20.86,-90.39,0.0,2007,26.02199,11.66745,63.11687,207.79665,35.01513,16.52966,18.48547,27.97544,23.61194,773.27228,145.5022,6.22538,84.80865,400.57449,34.95852,2.5
