verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
Aedes (Protomacleaya) triseriatus,17.990556,-92.928055,90.0,1954,26.33479,11.00872,59.93321,231.35344,35.59879,17.23047,18.36832,28.63582,23.54048,2146.19727,353.18188,42.77826,55.68017,802.28345,200.86447,21.5
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
Aedes (Protomacleaya) triseriatus,28.311667,-100.92,50.0,1960,21.07731,15.2634,46.74374,653.80188,37.42543,4.77207,32.65336,28.75051,14.18765,499.11844,81.01583,15.93925,51.3372,195.97328,58.56035,414.5
Aedes (Protomacleaya) triseriatus,28.407778,-100.888055,50.0,1961,21.17003,15.17286,46.49927,658.71313,37.53973,4.90941,32.63032,28.90992,14.21643,502.41852,80.52889,16.08701,50.41838,197.09586,60.25604,372.5
