verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1964,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,28.7,-100.523055,50.0,1968,21.75008,13.63972,42.94285,687.65991,37.35093,5.58843,31.7625,29.82625,14.42214,517.3858,72.83917,18.94493,45.76234,190.50873,68.41923,221.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1964,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1962,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1964,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,28.7,-100.523055,50.0,1968,21.75008,13.63972,42.94285,687.65991,37.35093,5.58843,31.7625,29.82625,14.42214,517.3858,72.83917,18.94493,45.76234,190.50873,68.41923,221.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,28.7,-100.523055,50.0,1968,21.75008,13.63972,42.94285,687.65991,37.35093,5.58843,31.7625,29.82625,14.42214,517.3858,72.83917,18.94493,45.76234,190.50873,68.41923,221.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1962,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965,22.89467,13.69479,52.45276,463.93262,35.72358,9.61477,26.10881,28.09914,17.63709,608.02869,130.1992,11.26166,71.83295,262.26358,45.01582,320.5
