verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,elevation
Anopheles (Nyssorhynchus) albimanus,15.156444,-92.72275,100.0,2001,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,16.471111,-90.6425,100.0,2002,24.72601,11.24245,59.50714,211.9603,34.55733,15.66473,18.8926,26.7896,22.12596,2664.78223,485.23541,51.92596,70.5137,1308.91028,188.37695,135.0
Anopheles (Nyssorhynchus) albimanus,16.416667,-95.026722,100.0,2002,27.15306,10.44619,61.79608,164.43501,35.39917,18.49488,16.90429,28.6317,25.24541,940.42578,223.2905,1.40698,114.91698,578.80347,9.08853,21.0
Anopheles (Nyssorhynchus) albimanus,16.804444,-90.9025,90.0,2002,25.51879,12.28769,59.99275,230.52408,36.52838,16.04643,20.48195,27.86547,22.74072,2357.84766,421.84589,51.51122,65.14369,1076.1427,190.56859,109.0
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719444,100.0,2002,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,16.390194,-95.120917,100.0,2001,27.19365,10.525,62.61239,159.02756,35.31676,18.50699,16.80977,28.61977,25.35205,885.92517,212.7379,1.26109,115.44014,552.22284,8.23981,16.0
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Nyssorhynchus) albimanus,16.515,-90.653889,100.0,2001,24.78491,11.36827,59.62535,213.50569,34.7036,15.63743,19.06617,26.86001,22.16476,2618.28613,474.46811,51.08434,69.78331,1276.3407,187.53557,138.0
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Nyssorhynchus) albimanus,16.355639,-94.188555,100.0,2001,27.15879,13.17409,70.39133,137.10332,35.9892,17.2737,18.7155,28.34449,25.53683,1100.71484,235.91901,2.28288,104.17532,635.65491,10.94518,46.0
Anopheles (Nyssorhynchus) albimanus,15.156444,-92.72275,100.0,2001,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,16.515,-90.653889,100.0,2001,24.78491,11.36827,59.62535,213.50569,34.7036,15.63743,19.06617,26.86001,22.16476,2618.28613,474.46811,51.08434,69.78331,1276.3407,187.53557,138.0
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Nyssorhynchus) albimanus,16.402806,-94.21625,100.0,2001,26.99856,13.36399,69.52735,145.00502,36.11052,16.88932,19.2212,28.28754,25.26787,1131.7865,245.8338,2.69077,104.22623,654.05493,11.34089,85.0
Anopheles (Nyssorhynchus) albimanus,17.702806,-92.016389,90.0,2002,26.28609,10.91312,60.82777,204.16359,35.46676,17.52574,17.94102,28.27843,23.77899,2106.6062,370.5592,57.23834,55.81234,782.27728,220.29956,13.5
Anopheles (Nyssorhynchus) albimanus,16.454806,-90.621805,100.0,2001,24.78595,11.17697,59.41984,211.48363,34.55066,15.7405,18.81016,26.84039,22.19053,2673.00854,487.00769,51.67297,70.84819,1319.82825,187.34726,135.0
Anopheles (Nyssorhynchus) albimanus,16.762583,-90.998,90.0,2002,25.40315,12.51849,60.35987,232.07907,36.68976,15.95,20.73976,27.80507,22.6301,2394.9187,430.87009,54.41219,65.85452,1090.62646,194.06702,149.0
Anopheles (Nyssorhynchus) albimanus,16.081639,-91.094555,100.0,2002,24.98471,10.05372,58.31379,192.53807,33.80743,16.56671,17.24072,26.8276,22.63666,3245.00928,645.44708,51.2506,81.92896,1739.81506,197.96324,180.0
Anopheles (Nyssorhynchus) albimanus,17.7005,-92.019222,90.0,2002,26.28792,10.90554,60.77982,204.49088,35.47001,17.52731,17.9427,28.28626,23.77812,2110.28467,371.16379,57.23679,55.80568,783.66827,220.52615,13.5
Anopheles (Nyssorhynchus) albimanus,16.091306,-95.406,100.0,2002,27.22988,12.93191,72.20674,121.81042,35.61342,17.70386,17.90956,28.20517,25.81745,597.90869,139.27879,0.49241,116.13288,381.7912,5.67513,28.5
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Nyssorhynchus) albimanus,16.801694,-90.913,90.0,2001,25.47265,12.32659,60.05838,230.76134,36.52699,16.00265,20.52434,27.82747,22.69461,2355.06567,420.8981,51.7112,65.05679,1072.06238,190.93486,109.0
Anopheles (Nyssorhynchus) albimanus,16.165556,-97.743889,100.0,2002,27.01656,11.67559,63.50883,140.97095,35.65015,17.26595,18.3842,28.28949,25.50656,1158.75256,292.66769,1.89746,112.12568,710.0188,17.91972,24.0
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719722,100.0,2002,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,16.943611,-91.9575,90.0,2002,20.84001,12.43965,64.2929,189.6405,30.7367,11.3883,19.3484,22.65924,18.5252,1892.17175,317.08829,56.55901,61.86079,789.62891,195.90921,1060.0
Anopheles (Nyssorhynchus) albimanus,18.294444,-99.465555,90.0,2001,24.90025,15.21703,66.66729,200.68968,36.61534,13.79001,22.82533,27.32148,22.57091,932.46216,200.3735,2.2073,112.0519,588.8418,8.86383,844.0
Anopheles (Nyssorhynchus) albimanus,16.357305,-95.027861,100.0,2001,27.29177,10.60804,62.83195,159.2317,35.47355,18.59035,16.8832,28.70624,25.4536,929.42377,219.12939,0.91707,115.77621,574.8999,8.34832,6.0
Anopheles (Nyssorhynchus) albimanus,17.201278,-92.714889,90.0,2002,25.24313,11.04053,59.70598,210.19313,34.67655,16.18506,18.49149,27.33382,22.65936,1891.36475,329.02151,45.29402,63.26592,807.10254,170.23018,284.5
Anopheles (Nyssorhynchus) albimanus,16.448333,-90.614167,100.0,2002,24.75644,11.15278,59.41086,211.08095,34.50118,15.72889,18.77229,26.80744,22.16602,2675.67798,487.21078,51.68744,70.89414,1321.83508,187.20775,129.0
Anopheles (Nyssorhynchus) albimanus,16.088889,-91.096111,100.0,2002,24.97367,10.06079,58.30239,192.83919,33.81102,16.5548,17.25622,26.82067,22.62221,3244.54419,644.43622,51.53783,81.77634,1737.23889,198.65881,188.0
Anopheles (Nyssorhynchus) albimanus,18.308333,-99.508333,90.0,2001,24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863.0
Anopheles (Nyssorhynchus) albimanus,16.554778,-90.678833,100.0,2001,24.80944,11.50601,59.77474,214.9182,34.83122,15.58226,19.24896,26.89687,22.17169,2579.32471,466.01682,50.71243,69.0938,1246.85278,187.50703,130.5
Anopheles (Nyssorhynchus) albimanus,16.564611,-95.094278,100.0,2002,26.66202,10.05076,59.44952,176.16982,34.96935,18.06297,16.90638,28.30161,24.61206,1003.54565,232.97639,4.51122,110.44044,603.77521,13.72869,60.5
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719722,100.0,2001,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719722,100.0,2001,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,15.173611,-92.698611,100.0,2002,27.54657,13.01019,74.56474,101.28564,35.50444,18.05626,17.44818,28.40624,26.41299,3041.27295,605.62891,7.08867,93.35766,1623.24744,49.71323,9.5
Anopheles (Nyssorhynchus) albimanus,18.308333,-99.508333,90.0,2001,24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863.0
Anopheles (Nyssorhynchus) albimanus,16.414555,-95.025417,100.0,2001,27.16922,10.46621,61.92714,163.75879,35.40684,18.506,16.90084,28.63946,25.27037,937.8573,222.666,1.32376,115.06451,577.75128,8.94818,18.0
Anopheles (Nyssorhynchus) albimanus,16.557778,-94.605,100.0,2001,26.78448,12.98316,65.74218,170.74088,36.49579,16.74719,19.7486,28.33774,24.73046,1187.29749,265.10019,2.73263,106.77171,687.66931,12.10715,59.0
Anopheles (Nyssorhynchus) albimanus,16.081111,-91.094444,100.0,2002,24.98471,10.05372,58.31379,192.53807,33.80743,16.56671,17.24072,26.8276,22.63666,3245.00928,645.44708,51.2506,81.92896,1739.81506,197.96324,180.0
Anopheles (Nyssorhynchus) albimanus,16.279083,-94.156055,100.0,2001,27.37942,12.8851,71.62505,126.6811,35.8134,17.82375,17.98965,28.42286,25.90833,1081.33801,227.4351,1.81203,104.12843,623.46582,10.71202,16.0
Anopheles (Nyssorhynchus) albimanus,17.695278,-101.641389,90.0,2002,26.49952,10.95984,69.12344,129.85625,33.37022,17.51476,15.85546,27.71123,24.96218,1035.76807,323.49771,0.20449,120.04321,681.30231,6.02263,6.5
Anopheles (Nyssorhynchus) albimanus,16.096667,-91.628889,100.0,2002,18.42709,9.85506,62.60247,152.79663,26.44023,10.69794,15.74229,19.90507,16.56017,1487.60974,279.77301,28.32784,78.19318,685.24481,92.98242,1437.5
Anopheles (Nyssorhynchus) albimanus,15.157778,-92.719444,100.0,2001,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,15.157222,-92.719722,100.0,2002,27.60014,12.97587,74.64101,100.68278,35.51961,18.13524,17.38437,28.42471,26.48285,2994.39087,596.75781,6.7066,93.60323,1601.71021,47.88254,7.5
Anopheles (Nyssorhynchus) albimanus,16.0785,-91.099722,100.0,2001,24.98471,10.05372,58.31379,192.53807,33.80743,16.56671,17.24072,26.8276,22.63666,3245.00928,645.44708,51.2506,81.92896,1739.81506,197.96324,180.0
Anopheles (Nyssorhynchus) albimanus,18.308333,-99.508333,90.0,2001,24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863.0
Anopheles (Nyssorhynchus) albimanus,16.404139,-90.702611,100.0,2002,24.84503,11.02159,59.14733,210.30103,34.54843,15.91431,18.63412,26.8989,22.26922,2806.94409,523.60461,54.61182,72.79236,1409.95471,192.50932,131.0
Anopheles (Nyssorhynchus) albimanus,16.766944,-99.224722,100.0,2002,26.30344,11.80005,69.55959,119.48988,34.10347,17.13952,16.96395,27.39406,25.00185,1293.81897,313.18951,0.68055,115.32852,806.6734,6.88798,37.0
Anopheles (Nyssorhynchus) albimanus,15.15225,-92.726833,100.0,2001,27.6007,12.96582,74.74957,100.14512,35.50175,18.15607,17.34568,28.4191,26.49213,2989.09082,595.98608,6.64524,93.68622,1600.48181,47.64396,6.5
Anopheles (Nyssorhynchus) albimanus,16.763611,-90.99175,90.0,2001,25.40315,12.51849,60.35987,232.07907,36.68976,15.95,20.73976,27.80507,22.6301,2394.9187,430.87009,54.41219,65.85452,1090.62646,194.06702,149.0
Anopheles (Nyssorhynchus) albimanus,15.15225,-92.726833,100.0,2002,27.6007,12.96582,74.74957,100.14512,35.50175,18.15607,17.34568,28.4191,26.49213,2989.09082,595.98608,6.64524,93.68622,1600.48181,47.64396,6.5
Anopheles (Nyssorhynchus) albimanus,15.977472,-93.776222,100.0,2001,28.13199,11.44883,73.99166,100.39126,35.34541,19.87227,15.47314,29.14669,27.12392,1654.57361,331.0351,1.71081,102.02367,932.45825,21.44677,10.0
Anopheles (Nyssorhynchus) albimanus,16.449917,-90.615139,100.0,2002,24.75644,11.15278,59.41086,211.08095,34.50118,15.72889,18.77229,26.80744,22.16602,2675.67798,487.21078,51.68744,70.89414,1321.83508,187.20775,129.0
Anopheles (Nyssorhynchus) albimanus,15.095833,-92.208889,100.0,2001,24.61338,12.73822,76.17947,88.56138,32.62226,15.90093,16.72133,25.49663,23.60777,3558.18652,667.10382,15.00706,85.4376,1742.78113,120.69089,695.0
Anopheles (Nyssorhynchus) albimanus,18.308333,-99.508333,90.0,2001,24.72588,15.09042,66.53365,200.21371,36.44721,13.76632,22.68089,27.17558,22.41781,968.43146,210.5667,2.41183,112.3559,613.24762,9.36946,863.0
Anopheles (Nyssorhynchus) albimanus,15.151944,-92.727778,100.0,2002,27.6007,12.96582,74.74957,100.14512,35.50175,18.15607,17.34568,28.4191,26.49213,2989.09082,595.98608,6.64524,93.68622,1600.48181,47.64396,6.5
