verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Ochlerotatus zoosophus,24.678194,-98.634,0.0,2010
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,19.776111,-100.007222,0.0,2012
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1964
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,28.7,-100.523055,50.0,1968
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1964
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1962
Aedes (Protomacleaya) zoosophus,21.287222,-98.946667,0.0,2004
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1964
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,28.7,-100.523055,50.0,1968
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,28.7,-100.523055,50.0,1968
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1962
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1961
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965
Aedes (Protomacleaya) zoosophus,23.736111,-99.146111,60.0,1965
Aedes (Protomacleaya) zoosophus,23.045278,-99.229167,70.0,2003
