verbatimScientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Anopheles (Anopheles) pseudopunctipennis,17.806667,-96.256111,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.355639,-94.188555,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.099722,-92.215555,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.119528,-93.79225,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.096667,-91.628889,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.0785,-91.099722,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.081694,-91.094111,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.657667,-96.101139,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,18.325,-99.415278,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,18.266944,-100.393333,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,18.303056,-99.274167,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.414083,-95.597222,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.578694,-96.736055,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,15.90475,-96.895222,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.414167,-95.5975,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,15.076111,-92.225,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.165556,-97.743889,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.482861,-96.05825,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,17.319,-96.493305,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.088889,-91.096111,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.763611,-90.99175,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,17.319,-96.493305,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.1145,-91.730111,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.470833,-101.241667,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.092083,-93.709194,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.188778,-93.845389,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.528333,-93.912778,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.922222,-96.3625,100.0,2003
Anopheles (Anopheles) pseudopunctipennis,16.414083,-95.597222,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.305556,-96.509055,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.448833,-94.362305,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.412222,-95.599167,100.0,2003
Anopheles (Anopheles) pseudopunctipennis,18.308333,-99.508333,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.091306,-95.406,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.925028,-96.330278,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,15.102222,-92.216667,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.416667,-95.026722,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.406028,-95.586222,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.979639,-95.638778,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.097361,-91.62925,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.325,-96.491667,90.0,2003
Anopheles (Anopheles) pseudopunctipennis,16.558055,-94.605833,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.414167,-95.5975,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.402806,-94.21625,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.500556,-96.104333,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.579444,-96.738889,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.583333,-92.509444,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.126806,-91.731444,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.544278,-99.276278,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.981306,-95.643917,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.888333,-96.926389,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.191194,-93.846833,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.379444,-95.150278,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.152333,-100.41075,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,18.307778,-99.421389,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.097417,-91.628472,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.331361,-95.234305,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.080389,-91.667944,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.117944,-91.727861,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.826361,-96.471222,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.205806,-100.628555,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.659889,-96.289694,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.427944,-95.540167,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,18.294444,-99.466944,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,17.569444,-98.953611,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.1525,-100.410278,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.097389,-91.629472,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.578889,-96.734167,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.173889,-92.699167,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,15.776417,-96.438167,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,18.270833,-100.473333,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.913667,-99.962944,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,18.294444,-99.465555,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.755694,-96.680528,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,18.384444,-100.145555,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.578694,-96.736055,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.379722,-95.150278,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.7825,-96.400944,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,18.294722,-99.465833,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.564611,-95.094278,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,15.968556,-95.587333,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,17.325,-96.491667,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.411944,-95.599444,100.0,2003
Anopheles (Anopheles) pseudopunctipennis,15.088333,-92.215555,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.765861,-92.723028,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.660917,-99.165,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.34875,-95.333611,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.466306,-93.999055,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.695278,-101.641389,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.627222,-101.543333,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.402806,-94.21625,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.766944,-99.224722,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.499528,-96.085278,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.091306,-95.406,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.406361,-95.026694,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.412222,-95.599167,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,18.268333,-99.293611,90.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.10775,-93.784472,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,16.092444,-91.637417,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.078,-91.677472,100.0,2001
Anopheles (Anopheles) pseudopunctipennis,17.201278,-92.714889,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.564611,-95.094278,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.565278,-95.091944,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.497944,-96.100083,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,16.493861,-93.975028,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,17.276556,-96.5405,90.0,2002
Anopheles (Anopheles) pseudopunctipennis,15.910556,-97.12,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,15.099722,-92.215555,100.0,2002
Anopheles (Anopheles) pseudopunctipennis,25.49175,-107.918667,50.0,2007
Anopheles (Anopheles) pseudopunctipennis,19.156583,-104.470222,90.0,2008
Anopheles (Anopheles) pseudopunctipennis,15.7875,-96.418333,100.0,2000
Anopheles (Anopheles) pseudopunctipennis,15.78875,-96.401472,100.0,2000
Anopheles (Anopheles) pseudopunctipennis,19.223944,-104.632889,90.0,2008
Anopheles (Anopheles) pseudopunctipennis,23.885528,-106.620444,70.0,2009
Anopheles (Anopheles) pseudopunctipennis,21.231833,-102.784333,80.0,2008
Anopheles (Anopheles) pseudopunctipennis,21.241167,-104.909778,80.0,2007
Anopheles (Anopheles) pseudopunctipennis,24.597611,-107.058139,50.0,2007
Anopheles (Anopheles) pseudopunctipennis,15.736111,-96.4275,100.0,2000
Anopheles (Anopheles) pseudopunctipennis,24.797167,-107.139055,50.0,2009
Anopheles (Anopheles) pseudopunctipennis,25.569222,-107.870361,50.0,2009
Anopheles (Anopheles) pseudopunctipennis,19.307472,-103.841111,90.0,2007
Anopheles (Anopheles) pseudopunctipennis,22.626472,-105.341833,80.0,2007
Anopheles (Anopheles) pseudopunctipennis,25.834056,-107.767389,50.0,2009
Anopheles (Anopheles) pseudopunctipennis,20.533083,-103.990055,80.0,2007
Anopheles (Anopheles) pseudopunctipennis,25.093389,-107.693417,50.0,2007
Anopheles (Anopheles) pseudopunctipennis,15.708139,-96.303833,100.0,2000
Anopheles (Anopheles) pseudopunctipennis,23.070639,-105.840194,70.0,2008
Anopheles (Anopheles) pseudopunctipennis,21.360583,-104.549,80.0,2009
Anopheles (Anopheles) pseudopunctipennis,22.545778,-105.354305,80.0,2008
Anopheles (Anopheles) pseudopunctipennis,22.634417,-105.320694,80.0,2008
Anopheles (Anopheles) pseudopunctipennis,23.537222,-106.223333,70.0,2009
Anopheles (Anopheles) pseudopunctipennis,19.352139,-104.889361,90.0,2009
