verbatimScientificName,countryCode,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,year
Lutzomyia olmeca subsp. olmeca,MX,18.575694,-88.269194,80,2006
Lutzomyia olmeca subsp. olmeca,MX,18.45,-89.306944,80,2001
Lutzomyia olmeca subsp. olmeca,MX,18.567222,-88.256944,80,2006
Lutzomyia olmeca subsp. olmeca,MX,18.492028,-88.348833,80,2005
Lutzomyia olmeca subsp. olmeca,MX,18.50475,-88.349722,80,2005
Lutzomyia olmeca subsp. olmeca,MX,18.340278,-89.480278,90,2001
Lutzomyia olmeca subsp. olmeca,MX,18.340278,-89.480278,90,2002
Lutzomyia olmeca subsp. olmeca,MX,18.340278,-89.480278,90,2003
Lutzomyia olmeca subsp. olmeca,MX,17.977778,-89.353889,90,2001
Lutzomyia olmeca subsp. olmeca,MX,17.977778,-89.353889,90,2002
Lutzomyia olmeca subsp. olmeca,MX,18.486333,-88.353861,80,2005
Lutzomyia olmeca subsp. olmeca,MX,18.506,-88.366389,80,2005
Lutzomyia olmeca subsp. olmeca,MX,19.869722,-89.217222,80,2002
Lutzomyia olmeca subsp. olmeca,MX,18.573861,-88.255611,80,2006
Lutzomyia olmeca subsp. olmeca,MX,18.434444,-89.267778,80,2002
Lutzomyia olmeca subsp. olmeca,MX,19.869722,-89.217222,80,2003
Lutzomyia olmeca subsp. olmeca,MX,18.552639,-88.399333,80,2005
Lutzomyia olmeca subsp. olmeca,MX,20.34,-90.228056,70,2001
Lutzomyia olmeca subsp. olmeca,MX,19.472222,-88.125833,80,2002
Lutzomyia olmeca subsp. olmeca,MX,18.551725,-88.320667,80,2005
Lutzomyia olmeca subsp. olmeca,MX,18.533333,-90.474722,80,2001
Lutzomyia olmeca subsp. olmeca,MX,18.533333,-90.474722,80,2003
Lutzomyia olmeca subsp. olmeca,MX,18.533333,-90.474722,80,2002
